test_point_id,intensity,exposure
462,37802,1000
463,51350,300
464,54906,300
465,38550,4500
466,49835,400
467,56271,82
468,56709,800
469,47852,300
470,42370,950
471,51896,160
472,47470,600
473,50273,1500
474,47682,138
475,50137,163
476,45646,450
477,50774,400
478,47832,1635
479,50295,800
480,45440,600
481,39739,12000
482,48313,650
483,50102,2444
484,46618,1100
485,47922,950
486,47404,350
487,50344,800
488,47066,450
489,49265,200
490,51630,150
491,49699,571
492,47692,350
493,41749,5000
494,49519,700
495,50188,224
496,51109,350
497,48701,200
498,46054,650
499,57302,450
500,54226,400
501,46825,115
502,48124,800
503,44821,1500
504,34621,669
505,46000,424
506,43876,300
507,46110,2366
508,44841,220
509,52006,380
510,44781,2000
511,62522,12000
